year,to_country,performer,song,place_contest,sf_num,running_final,running_sf,place_final,points_final,place_sf,points_sf,points_tele_final,points_jury_final,points_tele_sf,points_jury_sf
1956,Switzerland,Lys Assia,Refrain,1,,9,,1,,,,,,,
1956,Netherlands,Jetty Paerl,De Vogels Van Holland,2,,1,,2,,,,,,,
1956,Belgium,Fud Leclerc,Messieurs les noy�s de la Seine,2,,3,,2,,,,,,,
1956,Germany,Walter Andreas Schwarz,Im Wartesaal zum gro�en Gl�ck,2,,4,,2,,,,,,,
1956,France,Math� Alt�ry,Le Temps Perdu,2,,5,,2,,,,,,,
1956,Luxembourg,Mich�le Arnaud,Ne Crois Pas,2,,13,,2,,,,,,,
1956,Italy,Franca Raimondi,Aprite Le Finestre,2,,7,,2,,,,,,,
1956,Netherlands,Corry Brokken,Voorgoed Voorbij,2,,8,,2,,,,,,,
1956,Belgium,Mony Marc,Le Plus Beau Jour De Ma Vie,2,,10,,2,,,,,,,
1956,Germany,Freddy Quinn,So Geht Das Jede Nacht,2,,11,,2,,,,,,,
1956,France,Dany Dauberson,Il est l�,2,,12,,2,,,,,,,
1956,Italy,Tonina Torielli,Amami Se Vuoi,2,,14,,2,,,,,,,
1957,Netherlands,Corry Brokken,Net Als Toen,1,,6,,1,31,,,,,,
1957,France,Paule Desjardins,La Belle Amour,2,,8,,2,17,,,,,,
1957,Denmark,Birthe Wilke & Gustav Winckler,Skibet Skal Sejle I Nat,3,,9,,3,10,,,,,,
1957,Luxembourg,Dani�le Dupr�,Amours Mortes (Tant De Peine),4,,2,,4,8,,,,,,
1957,Germany,Margot Hielscher,"Telefon, Telefon",4,,7,,4,8,,,,,,
1957,Italy,Nunzio Gallo,Corde Della Mia Chitarra,6,,4,,6,7,,,,,,
1957,United Kingdom,Patricia Bredin,All,7,,3,,7,6,,,,,,
1957,Belgium,Bobbejaan Schoepen,Straatdeuntje,8,,1,,8,5,,,,,,
1957,Switzerland,Lys Assia,L'Enfant que j'�tais,8,,10,,8,5,,,,,,
1957,Austria,Bob Martin,"Wohin, Kleines Pony",10,,5,,10,3,,,,,,
1958,France,André Claveau,Dors Mon Amour,1,,3,,1,27,,,,,,
1958,Switzerland,Lys Assia,Giorgio,2,,10,,2,24,,,,,,
1958,Italy,Domenico Modugno,Nel Blu Dipinto Di Blu,3,,1,,3,13,,,,,,
1958,Sweden,Alice Babs,Lilla stj�rna,4,,5,,4,10,,,,,,
1958,Belgium,Fud Leclerc,Ma Petite Chatte,5,,7,,5,8,,,,,,
1958,Austria,Liane Augustin,Die Ganze Welt Braucht Liebe,5,,9,,5,8,,,,,,
1958,Germany,Margot Hielscher,F�r zwei Groschen Musik,7,,8,,7,5,,,,,,
1958,Denmark,Raquel Rastenni,Jeg Rev Et Blad Ud Af Min Dagbog,8,,6,,8,3,,,,,,
1958,Netherlands,Corry Brokken,Heel De Wereld,9,,2,,9,1,,,,,,
1958,Luxembourg,Solange Berry,Un Grand Amour,9,,4,,9,1,,,,,,
1959,Netherlands,Teddy Scholten,Een Beetje,1,,5,,1,21,,,,,,
1959,United Kingdom,Pearl Carr & Teddy Johnson,Sing Little Birdie,2,,10,,2,16,,,,,,
1959,France,Jean Philippe,"Oui, Oui, Oui, Oui",3,,1,,3,15,,,,,,
1959,Switzerland,Christa Williams,Irgendwoher,4,,8,,4,14,,,,,,
1959,Denmark,Birthe Wilke,"Uh, jeg ville �nske jeg var dig",5,,2,,5,12,,,,,,
1959,Italy,Domenico Modugno,Piove,6,,3,,6,9,,,,,,
1959,Belgium,Bob Benny,Hou Toch Van Mij,6,,11,,6,9,,,,,,
1959,Germany,Alice and Ellen Kessler,Heut' Woll'n Wir Tanzen Geh'n,8,,6,,8,5,,,,,,
1959,Sweden,Brita Borg,Augustin,9,,7,,9,4,,,,,,
1959,Austria,Ferry Graf,Der K. Und K. Kalypso Aus Wien,9,,9,,9,4,,,,,,
1959,Monaco,Jacques Pills,Mon Ami Pierrot,11,,4,,11,1,,,,,,
1960,France,Jacqueline Boyer,Tom Pillibi,1,,13,,1,32,,,,,,
1960,United Kingdom,Bryan Johnson,"Looking High, High, High",2,,1,,2,25,,,,,,
1960,Monaco,Fran�ois Deguelt,Ce soir-l�,3,,8,,3,15,,,,,,
1960,Norway,Nora Brockstedt,Voi-voi,4,,6,,4,11,,,,,,
1960,Germany,Wyn Hoop,Bonne nuit ma ch�rie,4,,11,,4,11,,,,,,
1960,Belgium,Fud Leclerc,Mon Amour Pour Toi,6,,5,,6,9,,,,,,
1960,Austria,Harry Winter,Du Hast Mich So Fasziniert,7,,7,,7,6,,,,,,
1960,Switzerland,Anita Traversi,Cielo E Terra,8,,9,,8,5,,,,,,
1960,Italy,Renato Rascel,Romantica,8,,12,,8,5,,,,,,
1960,Sweden,Siw Malmkvist,Alla andra f�r varann,10,,2,,10,4,,,,,,
1960,Denmark,Katy B�dtger,Det Var En Yndig Tid,10,,4,,10,4,,,,,,
1960,Netherlands,Rudi Carrell,Wat Een Geluk,12,,10,,12,2,,,,,,
1960,Luxembourg,Camillo Felgen,So Laang We's Du Do Bast,13,,3,,13,1,,,,,,
1961,Luxembourg,Jean-Claude Pascal,Nous Les Amoureux,1,,14,,1,31,,,,,,
1961,United Kingdom,The Allisons,Are You Sure?,2,,15,,2,24,,,,,,
